,Unnamed: 0,abstract,author,date,headline,section,source,word_count,id,candidate
10556,10556," [...] as some of his many younger fans like to say, the aging Texas congressman and physician is to the tea party what Snoop Dogg is to hip-hop, an ""original gangsta"": He's got his mind on your money and your money on his mind, especially if he can keep it away from tax collectors. Paul's rise comes partly out of desperation as the GOP's conservative ""Anybody But Mitt"" faction runs out of alternatives to former Massachusetts Gov. Mitt Romney, the party establishment's odds-on favorite.","Page, Clarence",2012-01-01,Ron Paul's more kooky moments,News,Chicago Tribune,759.0,10556,Romney
10583,10583," Capital gains, which include profits from the sale of mutual funds, real estate and other investments, are taxed at 15 percent.",Anonymous,2012-01-18,Mr. Romney's returns,News,Chicago Tribune,749.0,10583,Romney
10584,10584," Traveling New Hampshire's wooded byways in a 42-foot blue-and-white bus wrapped with his slogan -- ""Believe in America"" -- the candidate swatted away the complaints of chief rival Newt Gingrich about independently financed ads that Romney partisans are leveling against the former House speaker in Iowa.","Reston, Maeve",2011-12-22,Romney canvasses N.H. with a front-runner's air,News,Chicago Tribune,454.0,10584,Romney
10607,10607," Even before Romney's speech, the Obama campaign hit back with a statement attacking the former Massachusetts governor, along with a hefty file of news clippings intended to show that he had a checkered history on gun rights.","Landsberg, Mitchell",2012-04-14,Romney goes on firearms offensive at NRA convention,News,Chicago Tribune,336.0,10607,Romney
10614,10614," A fusillade of attacks on front-runner Mitt Romney presages what is likely to be at least a month of internal warfare among Republicans as the presidential candidates head for the South, the heart of the GOP's restive base. The sometimes-personal exchanges underscored the insoluble strains of Republicanism warring this year -- from supporters of the tea party movement and those with extremely conservative views across the board, to the libertarians drawn to Ron Paul's mix of tightfisted fiscal conservatism, liberal social views and isolationist foreign policy.","West, Paul",2012-01-09,Attacks signal mounting GOP war,News,Chicago Tribune,1015.0,10614,Romney
10619,10619," Elected last year as a symbol of the conservative tea party movement's rise, the embattled Haley has had a rocky transition from government critic to government executive -- and potential player in the 2012 presidential election. Haley, who is Indian-American, is likely to be a featured campaign presence with two other young Republican officials who buck the stereotypical image of party leaders as older white men:","Jacobs, Samuel P",2012-01-19,Pro-Romney governor stuns tea party,News,Chicago Tribune,1093.0,10619,Romney
10622,10622," New television advertisements airing in three states accuse Mitt Romney of being a potential ""outsourcer in chief,"" a buy that represents Team Obama's latest attempt to capitalize on the GOP presidential candidate's record at Bain Capital.","Memoli, Michael A",2012-06-27,Romney campaign rebuts outsourcing media blitz,News,Chicago Tribune,443.0,10622,Romney
10636,10636," Rick Santorum's runner-up primary finishes there and in Arizona on Tuesday left the party establishment breathing easier, though there seemed little optimism that a nomination fight that has sapped the resources of GOP donors and weakened their leading candidate's standing with independent voters would end any time soon.","West, Paul",2012-03-01,Romney looking to firm up his lead on Super Tuesday,News,Chicago Tribune,555.0,10636,Romney
10641,10641," According to Rick Perry, its practitioners ""take companies apart so they can make profits and have people lose their jobs."" [...]jobs are, in the language of economists, re-allocated.",,2012-06-16,Romney and Bain,News,Chicago Tribune,803.0,10641,Romney
10644,10644," Returns from 93 percent of the state's 1,774 precincts showed Santorum, a former Pennsylvania senator, and Romney, a former governor of Massachusetts, in a near dead heat, a fitting conclusion to a race as jumbled as any since Iowa gained the lead-off position in presidential campaigns four decades ago.",,2012-01-04,A TWO-MAN RACE,,Chicago Tribune,365.0,10644,Romney
10650,10650, A Scott Stantis editorial cartoon depicts Mitt Romney thinking he has smooth sailing ahead only to find former Pres. George W. Bush lurking under the water.,Scott Stantis,2012-04-11,Editorial cartoon,,Chicago Tribune,,10650,Romney
10664,10664," In campaigning for the Iowa caucuses, Gingrich complained that Romney should have urged a super PAC run by former Romney staffers to stop running ads aimed at the former House speaker.","Arcarian, Robin",2012-01-09,"Rancor between ex-speaker, former governor overflows",News,Chicago Tribune,274.0,10664,Romney
10671,10671," Mitt Romney rolled to an easy victory Tuesday in the New Hampshire primary, taking a broad stride toward capturing the GOP presidential nomination as the contest heads south for a pair of potentially make-or-break contests.",,2012-01-11,2 FOR 2,,Chicago Tribune,427.0,10671,Romney
10677,10677," Romney's message and his tone are popular talking points among Republican voters in most of the country, but they contrast sharply with the conciliatory statements he has made about labor in the past, particularly during his 2008 presidential campaign. Yet four years ago, he repeatedly blamed the auto industry's woes on the federal government and called for a summit with industry, union and political leaders to restore the auto industry.","Mehta, Seema",2012-02-27,Romney's anti-union tone may haunt him later,News,Chicago Tribune,816.0,10677,Romney
10682,10682, An Arizona sheriff running for Congress denied accusations Saturday that he threatened to deport an alleged ex-lover.,"Lopez, Ricardo",2012-02-19,Outed sheriff quits Romney's Arizona campaign,News,Chicago Tribune,151.0,10682,Romney
10690,10690," Sen. Marco Rubio, R-Fla., declined to reiterate previous denials that he might be Mitt Romney's running mate and said Sunday he will ""be respectful of the process,"" a response sure to fuel speculation that Rubio is at least in contention for the No. 2 slot on the Republican ticket.","Little, Morgan; Skiba, Katherine",2012-04-23,Rubio won't deny rumors of running with Romney,News,Chicago Tribune,463.0,10690,Romney
10715,10715," A Rick Santorum television ad released Feb. 14 THE SOURCE OF THE CLAIM In the run-up to the Michigan primary, Republican presidential candidate Rick Santorum released a television ad in that state titled ""Rombo"" that portrayed rival Mitt Romney as a gun-toting mudslinger. John McDonough (the executive director of Health Care For All, a Massachusetts consumer health advocacy organization and), one of the other advisers who worked in ?",,2012-02-23,Santorum ad takes aim at ?Romneycare',News,Chicago Tribune,453.0,10715,Romney
10722,10722," By Mitt Romney's account, his record as a Republican governor of Massachusetts shows how cutting taxes and public spending spurs economic growth -- and serves as a model for shrinking the U.S. government.","Finnegan, Michael",2012-06-11,Romney touts record in Mass.,News,Chicago Tribune,716.0,10722,Romney
10725,10725," Casting himself as a political outsider and former House Speaker Newt Gingrich as a creature of the Washington that voters despise, Romney pledged to go after Gingrich's record.","Mehta, Seema",2011-12-07,Quayle backs Romney as he steps into spotlight,News,Chicago Tribune,314.0,10725,Romney
10734,10734," On the campaign trail in recent days, Gingrich, who was courting Florida's Jewish and elderly voters, accused Romney of cutting funding for serving kosher food to seniors under Medicare, saying it amounted to $5 a day per senior.",Anonymous,2012-02-01,"Gingrich denies, team admits robo-calls",News,Chicago Tribune,265.0,10734,Romney
10738,10738," Republican presidential front-runner Mitt Romney's campaign has long considered Illinois to be in its win column, but a new Chicago Tribune/WGN-TV poll shows the candidate has some work to do to make that a reality. The survey of 600 confirmed registered voters likely to vote in the Illinois Republican primary was conducted Wednesday through Friday, prior to Santorum winning Kansas' GOP caucuses.","Pearson, Rick",2012-03-11,GOP race tight in Illinois,News,Chicago Tribune,1297.0,10738,Romney
10745,10745," Combined with a resounding triumph in the winner-take-all state of Arizona, Romney extended his lead in the delegate race and assuaged concerns of party leaders that the GOP race was on track for a prolonged and bitter battle.",,2012-02-29,Romney racks up two more wins,,Chicago Tribune,160.0,10745,Romney
10748,10748," Mitt Romney came under renewed assault Monday night for his business record and tactics, but in a turnabout, his rivals found themselves forced to defend their criticism and the increasingly harsh tone of the Republican presidential race.","Barabak, Mark Z; Reston, Maeve",2012-01-17,Romney rivals take big swipes at his record,News,Chicago Tribune,669.0,10748,Romney
10749,10749," Appearing on CNN, the former Pennsylvania senator pushed back against Romney's assertion that the Republican presidential contest amounts to a choice between a business-world outsider and a Washington insider.","Barabak, Mark Z",2012-02-09,Santorum's wins reshape the landscape,News,Chicago Tribune,676.0,10749,Romney
10752,10752," Prior to last week's primaries in Alabama and Mississippi, Romney expressed his newfound fondness for catfish and ""cheesy grits,"" and adopted the regional pronoun ""y'all"" to signal to voters that he's one of them. Prior to the Iowa caucuses, Romney alluded to his favorite song, America the Beautiful, and said to a Mason City crowd, If you count corn as an amber wave of grain, why, you have them right here.","Zorn, Eric",2012-03-18,CHANGE OF SUBJECT,News,Chicago Tribune,1128.0,10752,Romney
10753,10753, A Scott Stantis editorial cartoon depicts Mitt Romney trying to look presidential while a dog wearing a Rick Santorum sweater is biting his butt.,Scott Stantis,2012-03-15,Editorial cartoon,,Chicago Tribune,,10753,Romney
10764,10764," Barring the emergence of, in the immortal words of Louisiana governor Edwin Edwards, a dead girl or a live boy, it's all but certain that Mitt Romney will be the Republican nominee for president.",,2012-01-23,WHAT OTHERS ARE SAYING,News,Chicago Tribune,263.0,10764,Romney
10770,10770," [...]you don't need any actual numbers to figure out that Republican presidential nominee Mitt Romney and his running mate, Rep. Paul Ryan, are talking through their hats about Medicare and Social Security. Undoubtedly, the alternative Ryan and Romney have in mind is some form of privatization, in which beneficiaries get less money from the government than under current arrangements (otherwise, what's the point?) and are invited to make up the difference themselves on the stock market.",,2012-10-17,Checking a candidate's arguments,News,Chicago Tribune,833.0,10770,Romney
10776,10776," 2012: ""What I'd like to see happen would be for the Supreme Court to say look, we're going to overturn Roe v. Wade and return to the states the authority to decide whether they want to have abortion or not.\n","Zorn, Eric",2012-10-12,Romney not rock-solid on abortion,News,Chicago Tribune,672.0,10776,Romney
10781,10781," Frankly our collective mental health would be much better if we just turned off the TV and radio and stopped reading Internet blogs and print editorials dealing with the presidential campaign. If the answer to the first question is ""no,"" then vote for Mitt Romney; if ""yes,"" you must be a union member, White House czar, CEO of Solyndra, Hollywood ""intellectual,"" member of Congress or George Soros.",,2012-09-22,Voice of the people,News,Chicago Tribune,1438.0,10781,Romney
10790,10790," In the past two weeks, however, that sense of bedrock integrity has been put to the test as Ryan -- who speaks Wednesday night to the Republican National Convention -- has modified his positions on such key issues as abortion, Medicare and military spending, subsuming his own beliefs to those of running mate Mitt Romney. Ryan voted to raise the national debt ceiling as part of a congressional deal with Obama that led to a controversial plan to set up automatic federal budget cuts of about $1 trillion -- roughly half coming in defense spending -- that would go into effect in January if Congress and the administration couldn't find a better solution for deficit reduction.","Landsberg, Mitchell",2012-08-29,Ryan shifts to mirror Romney views,News,Chicago Tribune,856.0,10790,Romney
10797,10797," The decision-making process, aides say, was classic Romney: hyperanalytical, dispassionate and deliberate -- traits honed in law school and over many years as a consultant and head of the private equity firm Bain Capital.","Reston, Maeve",2012-11-04,"DECISION TIME: Mitt Romney: Considering, Debating the Data",News,Chicago Tribune,1143.0,10797,Romney
10800,10800," Phil Robinson, Tinley Park Care for all Paul Ryan has promised to debate replacing Medicare with premium support vouchers, and both Mitt Romney and he have assured us that the president's health care law will be scrapped the first day after Romney becomes president. Whether this country can afford medical care for all is simply a matter of balancing individual responsibility against shared responsibility and increasing the number of health care providers.",,2012-09-19,LOCAL VOICES,Chicagoland Health &amp; Family,Chicago Tribune,991.0,10800,Romney
10806,10806," In an article first published in The Wall Street Journal last month and expanded on later, Feldstein said that ""it is feasible to combine tax cuts and base broadening as Gov. Romney suggests without raising the budget deficit or imposing any middle-class tax increase.""","Lauter, David",2012-09-16,Romney tax cuts may carry a price,News,Chicago Tribune,679.0,10806,Romney
10811,10811," Romney has forgone those sorts of personal anecdotes; instead, his narrative has focused on others -- like his father's path from being a carpenter who sold paint cans from the trunk of his car to becoming the head of American Motors. [...]10 weeks before the election Romney remains an enigma to many Americans.","Reston, Maeve",2012-08-26,Defining Romney,News,Chicago Tribune,1831.0,10811,Romney
10816,10816," The Republican campaign, which needs a victory in Ohio, was particularly focused there. Besides Romney and Paul Ryan's joint stop in North Canton on Friday night, Romney hit three stops Thursday, and Ryan was in Cleveland on Wednesday and will kick off an eight-city, two-day bus tour Saturday. Referring to the two top Republicans in Congress, the president said he was prepared to ""wash John Boehner's car"" or ""walk Mitch McConnell's dog"" if it would help complete an elusive deal to cut future deficits by trillions of dollars.","Mehta, Seema; Hennessey, Kathleen",2012-10-27,Candidates chase swing voters,News,Chicago Tribune,960.0,10816,Romney
10819,10819," Severe Mitt, who oiled his way into the good graces of the conservative base by edging or lurching to the right on gun laws, climate change, gay rights, abortion, the expansion of health care, the legacy of Ronald Reagan, campaign finance laws and no-tax pledges?","Zorn, Eric",2012-10-24,New Romney gives 'peace' a dozen chances,News,Chicago Tribune,663.0,10819,Romney
10826,10826," Multiple sclerosis, a degenerative disease that attacks the brain and spinal cord, can be as emotionally destructive as it can be physically damaging, said Gloria Crews-McAdoo, who started the I Can MS support group in Chicago after her son was diagnosed. While the National Multiple Sclerosis Society estimates that about 400,000 Americans have the disease, MS has gained more attention this year because Republican presidential nominee Mitt Romney's wife, Ann, has it.","Dizikes, Cynthia",2012-07-26,"One disease, many faces",News,Chicago Tribune,2043.0,10826,Romney
10830,10830," Since the 1996 Welfare Reform Act, anyone seeking cash assistance has faced strict work requirements and a five-year lifetime limit.","Page, Clarence",2012-08-12,Romney's welfare queen,News,Chicago Tribune,701.0,10830,Romney
10832,10832," U.S. Rep. Luis Gutierrez used his turn on the Democratic National Convention stage Wednesday to hail President Barack Obama's support for immigration reform and blasted Republican nominee Mitt Romney as someone who wants to turn into ""nightmares"" the dreams of young children brought into the country by illegal immigrant adults.","Pearson, Rick",2012-09-06,Gutierrez assails Romney over immigration policy,News,Chicago Tribune,583.0,10832,Romney
10834,10834," Ed Stone, Northbrook Church and state There has been much hoo-hah in the media of late regarding separation of church and state. Faith Brabenec Hart, Chicago Tax returns If Mitt Romney expects the citizens of this country to trust him with our future, then he should be willing to reveal his past tax returns, to show the U.S. that there are no potential conflicts of interest on his part when he makes decisions affecting our future.",,2012-08-12,Voice of the people,News,Chicago Tribune,895.0,10834,Romney
10835,10835," If the conventional wisdom is right, Republican presidential candidate Mitt Romney will reject a more ideological, movement-style conservative and announce soon that he's running with Rob Portman, a well-regarded member of the Washington establishment. In addition to having no skeletons in the closet, the perfect No. 2 has to give a solid convention speech, shine in the vice presidential debate and otherwise stay discreetly in the background while helping carry a key state.","West, Paul",2012-08-10,Signs point to Portman as GOP No. 2,News,Chicago Tribune,916.0,10835,Romney
10847,10847, Gone were references to the Pledge of Allegiance and religious freedom that formed the spine of his recent speeches.,"Landsberg, Mitchell",2012-09-14,Romney goes back to basics on trail,News,Chicago Tribune,765.0,10847,Romney
10853,10853," Ann Althouse, Althouse blog Mitt Romney on Tuesday: ""There's no legislation with regards to abortion that I'm familiar with that would become part of my agenda.""",,2012-10-11,WHAT OTHERS ARE SAYING,News,Chicago Tribune,267.0,10853,Romney
10859,10859," Romney spent most of the 50-minute rally on a question-and-answer session with supporters, reiterating his proposals for increasing energy production, protecting Social Security for retirees but adjusting it for younger Americans and not ceding sovereignty to the U.N. He faced a bit of a test when one woman described the plight of her son, a small-business owner. ""Because of the awful economy that Obama's created, he's had to lay off people and may have to close the stores.","Mehta, Seema",2012-07-19,Romney vows VP choice will be a conservative,News,Chicago Tribune,474.0,10859,Romney
10867,10867," [...]the average American doesn't have camera crews bobbing in boats off his or her vacation home -- and doesn't own a multimillion-dollar lakeside estate in the first place. [...]the average American doesn't have the problem of being perceived as out of touch with average Americans, as polls have suggested Romney does.","Landsberg, Mitchell",2012-07-08,Comfort zone: Romney on vacation,News,Chicago Tribune,808.0,10867,Romney
10868,10868," On a day that mixed religious symbolism, courtship of his financial donors and tough rhetoric, Mitt Romney on Sunday declared in his most aggressive tones to date that the U.S. should stand firmly behind Israel if it chooses military action to thwart Iran's progression toward a nuclear weapon.","Reston, Maeve",2012-07-30,Romney declares his commitment to Israel,News,Chicago Tribune,468.0,10868,Romney
10871,10871," By selecting the Wisconsin congressman who leads the Republican Party's drive for tax cuts for all -- including the wealthiest -- and dramatic spending reductions, Romney did ensure a robust debate about sharply contrasting visions for America's future.","Finnegan, Michael",2012-08-13,"With Ryan in, president has an opening",News,Chicago Tribune,687.0,10871,Romney
10884,10884," Romney aides did not directly address the video, saying in response to its release that the GOP nominee is committed to helping all Americans and that he has long been dismayed by the country's growing dependence on government, such as the unprecedented number of people who receive food stamps.","Mehta, Seema",2012-09-18,Remarks may haunt Romney,News,Chicago Tribune,717.0,10884,Romney
10886,10886, Vice President Joe Biden told a fundraising audience of 700 trial lawyers in Chicago on Monday that a Mitt Romney presidency likely would have a disastrous impact on the middle class and warned of the Republican nominee's picks to the Supreme Court.,"Pearson, Rick",2012-07-31,Biden rips Romney at Chicago fundraiser,News,Chicago Tribune,391.0,10886,Romney
10897,10897," Ann Althouse, Althouse blog Given that Ann Romney delivered the dumbest convention speech in the history of candidates' spouses giving convention speeches, she probably should stop talking to voters like they're idiots.",,2012-09-07,WHAT OTHERS ARE SAYING,News,Chicago Tribune,303.0,10897,Romney
10898,10898," Romney apparently sees himself as the reincarnation of Winston Churchill, who led his nation in a desperate fight against Nazi conquest -- and whose bust he plans to install in the Oval Office. Romney says modifying our missile defense plans in Europe was ""abandonment of friends in Poland and the Czech Republic.""","Chapman, Steve",2012-07-29,Romney's scary world,News,Chicago Tribune,780.0,10898,Romney
10914,10914, The essence of Mitt Romney's policy proposals this year (and the essence of the House Republican budgets of the last few years) might be described as changing the structure of government programs for the sake of preserving the structure of American society.,,2012-10-05,WHAT OTHERS ARE SAYING,News,Chicago Tribune,312.0,10914,Romney
10942,10942, RAISED MORMON/NON-PRACTICING Katherine Heigl Ryan Gosling Amy Adams Eliza Dushku Paul Walker Aaron Eckhart Dennis Eckersley Julianne Hough RAISED MORMON/PRACTICING Stephenie Meyer Glenn Beck Mitt Romney Steve Young Orson Scott Card Ken Jennings Marie Osmond Donny Osmond David Archuleta Wilford Brimley John Tait A.J. Cook Ty Detmer Jon Heder Brandon Flowers Harry Reid CONVERTED Gladys Knight Rick Schroder Andy Reid MORMON PARENT/ PARENTS Chelsea Handler,"Garvey, Georgia",2012-10-15,"OUR BELIEFS,",,Chicago Tribune,411.0,10942,Romney
10943,10943," The incongruity, however, explains why Romney may be able to win with a Big 10 strategy. [...]last year, when Nebraska joined this athletic conference, it extended from State College, Pa., to Iowa City.",,2012-08-28,Romney's 'Big 10' strategy,News,Chicago Tribune,746.0,10943,Romney
10947,10947," There were plenty of promises at the Republican National Convention that Mitt Romney and his running mate, Rep. Paul Ryan of Wisconsin, would level with the American people about the sacrifices needed to protect the nation from fiscal ruin.",,2012-08-31,GOP shares big plans but no small details,News,Chicago Tribune,748.0,10947,Romney
10964,10964," ""The Mitt on the campaign trail is not the Mitt I knew as the leader of the Olympics,"" said Randy Dryer, a Democratic lawyer who served on the 53-member Salt Lake Olympic Committee board of trustees.","Gold, Matea",2012-07-29,"In 2002, Romney had golden touch",News,Chicago Tribune,679.0,10964,Romney
10966,10966, [...]the label above this series of occasional editorials about the 2012 presidential campaign: A Nation Divided.,Anonymous,2012-09-19,Romney's revelation,News,Chicago Tribune,866.0,10966,Romney
10979,10979," Abandoning his trademark caution, Mitt Romney selected U.S. Rep. Paul Ryan, of Wisconsin, as his running mate Saturday in a move that reframed the presidential race as an ideological battle over the size of government and the fate of Medicare, the popular health care program for seniors. While the selection was seen as risky -- some top Republicans privately expressed concern about Ryan's limited experience beyond government, which complicates their efforts to portray President Barack Obama as out of his depth -- the public response of GOP leaders ranging from former House Speaker Newt Gingrich to former President George W. Bush was almost universally positive.","Mehta, Seema; Reston, Maeve",2012-08-12,Romney's choice,News,Chicago Tribune,1111.0,10979,Romney
10980,10980," In Republican circles, talk about Romney's campaign tactics has begun to morph from concern to alarm as polls show Obama pulling ahead in some key swing states.","Mehta, Seema; Landsberg, Mitchell",2012-09-20,"Time for Romney to hit the gas, observers say",News,Chicago Tribune,691.0,10980,Romney
10984,10984," [...]recently, studies have shown that Democrats are more willing than Republicans to accept that climate change caused by human activity is occurring.","Banerjee, Neela",2012-09-05,"Romney leaves door open on climate change, despite jabs",News,Chicago Tribune,638.0,10984,Romney
10993,10993," The week ahead *Republican National Convention opens Monday in Tampa, Fla. *Trials of Drew Peterson and Christopher Vaughn resume Monday. *Rep. Paul Ryan, Mitt Romney's presumptive running mate, addresses Republican convention Wednesday. *Mitt Romney is expected to accept GOP presidential nomination Thursday. *Chicago Jazz Festival begins Thursday and runs through Sunday. *Look for the blue moon Friday -- the second full moon of the month.",,2012-08-26,Chicago Week,News,Chicago Tribune,719.0,10993,Romney
10995,10995," At The Tomb of the Unknown Soldier, reporters hurled questions of such sophistication as, ""What about your gaffes?"" To which Rick Gorka, the traveling press secretary, suggested that the reporters kiss his posterior, a rather charming invitation that would have made a superb photo op.","Krauthammer, Charles",2012-08-06,Romney's excellent trip,News,Chicago Tribune,787.0,10995,Romney
11002,11002," ""Mitt Romney's campaign has already gone off the deep end today in an attempt to once again change the story line away from his Bain tenure and investments in foreign tax havens and offshore accounts,"" said Lis Smith. In a conference call arranged by the Romney campaign, Sununu assailed Obama's roots in the ""political-slash-felon environment"" of Chicago and attacked the president's recent statement that business leaders who had succeeded had help from government, in the form of teachers or road construction workers, among others.","Mehta, Seema",2012-07-18,Romney steps up economy attacks,News,Chicago Tribune,879.0,11002,Romney
11010,11010," [...]she's gotten a lot more attention this time around.""","Abcarian, Robin; Reston, Maeve",2012-08-28,Ann Romney aims to soften Mitt's edges,News,Chicago Tribune,832.0,11010,Romney
11013,11013," Along with recent missteps by presidential nominee Mitt Romney, the erosion of Republican prospects in the Senate has contributed to a grim feeling among party activists that an election year which held the promise of regaining full control of the government could be souring on them.","Mascaro, Lisa",2012-09-22,Battle for Senate control shifts,News,Chicago Tribune,903.0,11013,Romney
11037,11037," [...]in direct mail to conservative voters, his allies in the state Republican Party have highlighted Romney's belief that life begins at conception, his opposition to same-sex marriage and his support of a bill in Massachusetts to let the Catholic Church deny adoptions to gay couples.","Finnegan, Michael",2012-10-07,"In diverse Ohio, ad strategies diverge",News,Chicago Tribune,1066.0,11037,Romney
11045,11045," There comes a time in every presidential campaign when a candidate faces lighthearted questions from morning television show hosts as a way to show a more personal side. [...]Romney and his wife, Ann, were interviewed Friday by Kelly Ripa and Michael Strahan for Tuesday's syndicated ""Live!",,2012-09-16,"Doughnuts, PB&J; and the Romneys",News,Chicago Tribune,341.0,11045,Romney
11047,11047," Democrats on Monday highlighted connections between Akin and Romney's running mate, Rep. Paul Ryan of Wisconsin, who has sponsored anti-abortion legislation with his fellow conservative lawmaker and, unlike Romney, has said he opposes the procedure in cases of rape and incest.","Barabak, Mark Z",2012-08-21,Rape remarks echo in campaigns,News,Chicago Tribune,824.0,11047,Romney
11051,11051," Listening to them helps explain the shift in polls toward Obama since the Democratic convention and illustrates the magnitude of the task that lies before Romney as he tries to catch up in an increasingly challenging race. In an effort to explore the sentiments behind the poll numbers as Romney approaches the first of three presidential debates, Tribune Newspapers reporters over the last week interviewed four dozen voters who in mid-August had told pollsters for Tribune Newspapers and the University of Southern California's Annenberg School for Communication and Journalism that they were undecided or only weakly committed to their candidates.","Lauter, David",2012-10-03,Voters' shifting opinions hurt Romney,News,Chicago Tribune,1124.0,11051,Romney
11059,11059," Clint Eastwood says his widely panned improvisational bit at the Republican National Convention last week was conceived on the fly -- just a few minutes before going on stage -- and that he had promised Mitt Romney's campaign only that he would say ""nice"" things about the candidate.","Hennessey, Kathleen",2012-09-08,Eastwood clears air over chair,News,Chicago Tribune,301.0,11059,Romney
11065,11065," Andrew Sullivan, The Daily Beast Mitt Romney has a specific problem, that like Al Gore or John Kerry before him, the former Massachusetts governor comes over as stiff and wooden and fails the beer test: he's not somebody most voters would choose to have a drink with. ..",,2012-09-05,WHAT OTHERS ARE SAYING,News,Chicago Tribune,342.0,11065,Romney
11069,11069," President Barack Obama holds a 4-point lead over Romney, his Republican challenger, in an NBC News/Wall Street Journal poll released in the final week before the Republican National Convention, which starts Monday.","Page, Clarence",2012-08-26,Romney's zero percenters,News,Chicago Tribune,756.0,11069,Romney
11076,11076," GOP presidential nominee Mitt Romney said the Democrats' God-free platform ""suggests a party which is increasingly out of touch with the mainstream of American people,"" while his running mate Paul Ryan referred to ""purges of God.""","Zorn, Eric",2012-09-07,Tackling religion at the Democratic convention,News,Chicago Tribune,667.0,11076,Romney
11081,11081," ""The real hope is, certainly if Romney becomes president, that it just won't be enforced,"" said Michael Greenberger, a former top Commodity Futures Trading Commission regulator.","Tangel, Andrew; Hamilton, Walter",2012-11-04,'Fat cats' put money on Romney,Business,Chicago Tribune,636.0,11081,Romney
11083,11083," [...]by dint of finance and persistence, Mitt Romney won the day.","Madigan, Charles M",2012-08-16,Ryan's Mitt Romney problem,News,Chicago Tribune,792.0,11083,Romney
11085,11085," Jason Sudeikis, who plays Mitt Romney on ""Saturday Night Live"" as a Ward Cleaver-like figure, said he has not yet decided whether to return to the sketch show when it resumes this fall.",,2012-08-10,Sudeikis' 'SNL' run near end?,Arts + Entertainment Movies,Chicago Tribune,196.0,11085,Romney
11087,11087," Romney's defense, however, is problematic because he doesn't provide enough information to fully evaluate how his tax plans would work. [...]in the past, he has repeatedly said that he intends to cut taxes.","Levey, Noam; Landsberg, Mitchell",2012-10-05,Both sides are squishy when it comes to facts,News,Chicago Tribune,758.0,11087,Romney
11088,11088," [...]Romney avoided any language to suggest he intends to draw America into a new military conflict, an unpopular notion after the two wars launched by Bush.","Richter, Paul",2012-10-14,Crafting Romney foreign policy a fight,News,Chicago Tribune,1076.0,11088,Romney
11090,11090," Mitt Romney has his focused his career on seeking personal wealth and power for the benefit of others as privileged as himself, first as a private equity manager and later as governor.",,2012-11-03,Voice of the people,News,Chicago Tribune,500.0,11090,Romney
11091,11091," Mitt Romney, the presumptive GOP presidential nominee, summed it up beautifully when I saw him speak at the University of Chicago in March: ""I don't see how a young American can vote for a Democrat. ..","Giokaris, John",2012-08-27,These two guys have our backs,,Chicago Tribune,567.0,11091,Romney
11097,11097," [...]he pulled off a tactical coup by coming right out of the box to undo millions of dollars' worth of negative ads that painted him, personally, as Gordon Gekko -- rapacious vulture capitalist who doesn't just lay off steelworkers but kills their wives -- and, politically, as intent on raising taxes on the middle class while lowering them for the rich.","Krauthammer, Charles",2012-10-08,Romney by 2 touchdowns,News,Chicago Tribune,746.0,11097,Romney
11104,11104," Mitt Romney's record as governor of Massachusetts was the focal point of presidential campaign sparring Saturday, with the GOP nominee boasting that he worked across the aisle to close a multibillion-dollar budget gap and President Barack Obama arguing that Romney's tenure benefited the wealthy at the expense of the middle class.","Mehta, Seema; Memoli, Michael A",2012-10-28,Rivals spar over Romney's Mass. record,News,Chicago Tribune,712.0,11104,Romney
11116,11116," Advice from somebody nobody asked I'm bursting with suggestions and sound counsel, yet, somehow, requests are not pouring in. [...]think of this as an unsolicited advice column. In the past week I've heard many of you confidently offering some variation on the prediction Cal Thomas made in a column published in Wednesday's Tribune: Mitt Romney's running mate, Wisconsin Rep. Paul Ryan, ""will wipe the floor with Vice President Joe Biden in their one debate in October.""","Zorn, Eric",2012-08-19,CHANGE OF SUBJECT,News,Chicago Tribune,1063.0,11116,Romney
11125,11125," Altogether, his campaign and affiliated committees have pulled in a record $1.037 billion, according to Federal Election Commission data compiled by the nonpartisan Campaign Finance Institute.",,2012-10-26,"After debates, Romney sees cash infusion in October",News,Chicago Tribune,327.0,11125,Romney
11127,11127," A Scott Stantis editorial cartoon shows Uncle Sam's reading about the Curiosity space rover's landing on Mars and exclaiming ""Dare Mighty Things!"" while 2012 presidential candidate Mitt Romney walks away insisting that he will not release his taxes.",Scott Stantis,2012-08-09,Editorial cartoon,,Chicago Tribune,,11127,Romney
11128,11128," The wonkish House Budget Committee chairman won the admiration of conservatives because of his fearless advocacy of budget reform, including reducing funding on Medicare, the popular health care program for seniors.","Mehta, Seema",2012-08-12,Romney readying VP choice; rumors swirl around Paul Ryan,News,Chicago Tribune,383.0,11128,Romney
11130,11130, [...]Romney spoke of his encounter with the wife of a U.S. military sharpshooter killed in Afghanistan.\n,"Reston, Maeve",2012-10-07,Romney shows a sunnier side in Florida visit,News,Chicago Tribune,1038.0,11130,Romney
11132,11132," Romney unsurprisingly gaffed, referring to ""the people who lost their lives at that sheik temple."" Because the shooting happened in Paul Ryan's district, the Romney campaign delayed announcement of its vice presidential choice until after Ryan could attend the funerals for the victims, but he did not speak at the service and has said surprisingly little about the incident. --",,2012-08-21,WHAT OTHERS ARE SAYING,News,Chicago Tribune,293.0,11132,Romney
